id,=BredPreg,"=if(BredAbort,1,0)",=evsireNAAB,=@date(LACT),=evnumt,=evnum,=evdate,EvGap,Tech,=@date(Pen),"=if(bredsexed,1,0)",BredReas,=@date(dim),=now(apiId),=evloc,=now(owner),=now(BRD),=@date(age),=now(Other2ID),=now(Other5ID),ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,=now(Age1BLT),=now(Total),=now(ApiId),EvId,EvTypeShort,=details/units,=details/sire,=details/sexed,=details/bredreason,isChore,InvldBrd,BredPreg,BredAbort,EvSireNAAB,LACT,EvNumT,EvNum,EvDate,Pen,BREDsexed,Proto,DIM,ApiId,EvLoc,Owner,BRD,AGE,Other2ID,Other5ID,BredOpen,BredRes,Age1BLT,Total,details/units,details/sire,details/sexed,details/bredreason,EvType
771989246,true,0,151AN1692,3,2,2,2022-04-14,35,Rigo Trejo,10,1,Lut to Breed,119,3817403,Red Rock Dairy,Red Rock Dairy,Holstein,1842,,,100,false,AN,151,2022-04-10,636,total,3817403,771989246,bred,1,606098,1,Lut to Breed,false,0,true,false,151AN1692,0,2,2,2022-04-14,0,1,Lut to Breed,,771989246,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Lut to Breed,Bred
765042424,true,0,551HO4425,1,2,2,2022-03-31,35,Noe Gonzalez,1,1,Lut to Breed,110,5894647,Red Rock Dairy,Red Rock Dairy,Holstein,795,123,,100,false,HO,551,2022-03-27,387,total,5894647,765042424,bred,1,446595,1,Lut to Breed,false,0,true,false,551HO4425,0,2,2,2022-03-31,0,1,Lut to Breed,,765042424,Red Rock Dairy,,,,,,false,Preg,,total,1,446595,1,Lut to Breed,Bred
778124999,true,0,151AN1692,2,2,2,2022-04-28,35,Noe Gonzalez,9,1,Lut to Breed,117,3426334,Red Rock Dairy,Red Rock Dairy,Holstein,1310,,,100,false,AN,151,2022-04-24,396,total,3426334,778124999,bred,1,606098,1,Lut to Breed,false,0,true,false,151AN1692,0,2,2,2022-04-28,0,1,Lut to Breed,,778124999,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Lut to Breed,Bred
778985159,false,0,151AN1692,0,4,4,2022-04-26,39,Noe Gonzalez,14,0,Chalk,,8224137,Red Rock Dairy,Red Rock Dairy,Holstein,467,,,0,false,AN,151,2022-04-24,388,total,8224137,778985159,bred,1,606098,0,Chalk,false,0,false,false,151AN1692,0,4,4,2022-04-26,0,0,,,778985159,Red Rock Dairy,,,,,,true,Open,,total,1,606098,0,Chalk,Bred
771989186,false,0,151AN1692,4,2,2,2022-04-14,35,Noe Gonzalez,10,1,Lut to Breed,114,3154799,Red Rock Dairy,Red Rock Dairy,Holstein,2123,,,0,false,AN,151,2022-04-10,344,total,3154799,771989186,bred,1,606098,1,Lut to Breed,false,0,false,false,151AN1692,0,2,2,2022-04-14,0,1,Lut to Breed,,771989186,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Lut to Breed,Bred
767819458,true,0,151AN1692,0,4,4,2022-04-01,18,Hernan Roque,14,0,Chalk,,8218918,Red Rock Dairy,Red Rock Dairy,Holstein,443,,,100,false,AN,151,2022-03-27,383,total,8218918,767819458,bred,1,606098,0,Chalk,false,0,true,false,151AN1692,0,4,4,2022-04-01,0,0,,,767819458,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,0,Chalk,Bred
778985162,true,0,551HO4425,0,1,1,2022-04-26,,Noe Gonzalez,14,1,Chalk,,8780644,Red Rock Dairy,Red Rock Dairy,Holstein,387,,,100,false,HO,551,2022-04-24,387,total,8780644,778985162,bred,1,446595,1,Chalk,false,0,true,false,551HO4425,0,1,1,2022-04-26,0,1,,,778985162,Red Rock Dairy,,,,,,false,Preg,,total,1,446595,1,Chalk,Bred
765042390,false,0,551HO4425,1,2,2,2022-03-31,42,Noe Gonzalez,1,1,Lut to Breed,122,6099048,Red Rock Dairy,Red Rock Dairy,Holstein,771,126,,0,false,HO,551,2022-03-27,382,total,6099048,765042390,bred,1,446595,1,Lut to Breed,false,0,false,false,551HO4425,0,2,2,2022-03-31,0,1,Lut to Breed,,765042390,Red Rock Dairy,,,,,,true,Open,,total,1,446595,1,Lut to Breed,Bred
787111637,false,0,551AN1609,1,3,3,2022-05-12,35,Rigo Trejo,1,1,Lut to Breed,147,6146867,Red Rock Dairy,Red Rock Dairy,Holstein,800,345,,0,false,AN,551,2022-05-08,385,total,6146867,787111637,bred,1,606097,1,Lut to Breed,false,0,false,false,551AN1609,0,3,3,2022-05-12,0,1,Lut to Breed,,787111637,Red Rock Dairy,,,,,,true,Open,,total,1,606097,1,Lut to Breed,Bred
778985172,true,1,551HO4429,0,1,1,2022-04-26,,Noe Gonzalez,14,0,Chalk,,8651295,Red Rock Dairy,Red Rock Dairy,Holstein,386,,,100,false,HO,551,2022-04-24,386,total,8651295,778985172,bred,1,446446,0,Chalk,false,0,true,true,551HO4429,0,1,1,2022-04-26,0,0,,,778985172,Red Rock Dairy,,,,,,false,Abort,,total,1,446446,0,Chalk,Bred
771989214,false,0,151AN1692,3,4,4,2022-04-14,35,Rigo Trejo,10,1,Lut to Breed,187,3156207,Red Rock Dairy,Red Rock Dairy,Holstein,1586,,,0,false,AN,151,2022-04-10,345,total,3156207,771989214,bred,1,606098,1,Lut to Breed,false,0,false,false,151AN1692,0,4,4,2022-04-14,0,1,Lut to Breed,,771989214,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Lut to Breed,Bred
778985177,true,1,551HO4429,0,1,1,2022-04-26,,Noe Gonzalez,14,0,Chalk,,8780643,Red Rock Dairy,Red Rock Dairy,Holstein,387,,,100,false,HO,551,2022-04-24,387,total,8780643,778985177,bred,1,446446,0,Chalk,false,0,true,true,551HO4429,0,1,1,2022-04-26,0,0,,,778985177,Red Rock Dairy,,,,,,false,Abort,,total,1,446446,0,Chalk,Bred
736259800,false,0,151AN1692,7,1,1,2022-03-24,,Rigo Trejo,9,1,Double Ovsynch 2PgF,79,3152071,Red Rock Dairy,Red Rock Dairy,Holstein,3046,,,0,false,AN,151,2022-03-20,785,total,3152071,736259800,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-03-24,0,1,Double Ovsynch 2PgF,,736259800,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
741060135,false,0,551AN1609,2,1,1,2022-03-31,,Noe Gonzalez,2,1,Double Ovsynch 2PgF,79,4016000,Red Rock Dairy,Red Rock Dairy,Holstein,1188,126,,0,false,AN,551,2022-03-27,387,total,4016000,741060135,bred,1,606097,1,Double Ovsynch 2PgF,false,0,false,false,551AN1609,0,1,1,2022-03-31,0,1,Double Ovsynch 2PgF,,741060135,Red Rock Dairy,,,,,,true,Open,,total,1,606097,1,Double Ovsynch 2PgF,Bred
757661221,true,0,151AN1692,3,1,1,2022-05-05,,Noe Gonzalez,9,1,Double Ovsynch 2PgF,83,3159573,Red Rock Dairy,Red Rock Dairy,Holstein,1448,,,100,false,AN,151,2022-05-01,388,total,3159573,757661221,bred,1,606098,1,Double Ovsynch 2PgF,false,0,true,false,151AN1692,0,1,1,2022-05-05,0,1,Double Ovsynch 2PgF,,757661221,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Double Ovsynch 2PgF,Bred
744525344,true,0,151AN1692,1,1,1,2022-04-07,,Rigo Trejo,8,1,Double Ovsynch 2PgF,76,6040732,Red Rock Dairy,Red Rock Dairy,Holstein,756,234,,100,false,AN,151,2022-04-03,389,total,6040732,744525344,bred,1,606098,1,Double Ovsynch 2PgF,false,0,true,false,151AN1692,0,1,1,2022-04-07,0,1,Double Ovsynch 2PgF,,744525344,Red Rock Dairy,,,,,,false,Preg,,total,1,606098,1,Double Ovsynch 2PgF,Bred
789851694,false,0,151AN1692,2,1,1,2022-04-07,,Martin Medrano,9,0,Double Ovsynch 2PgF,61,3752313,Red Rock Dairy,Red Rock Dairy,Holstein,1250,,,0,false,AN,151,2022-04-03,385,total,3752313,789851694,bred,1,606098,0,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-04-07,0,0,Double Ovsynch 2PgF,,789851694,Red Rock Dairy,,,,,,true,Open,,total,1,606098,0,Double Ovsynch 2PgF,Bred
771989036,false,0,151AN1692,3,4,4,2022-04-14,35,Noe Gonzalez,10,1,Lut to Breed,201,3156011,Red Rock Dairy,Red Rock Dairy,Holstein,1565,,,0,false,AN,151,2022-04-10,365,total,3156011,771989036,bred,1,606098,1,Lut to Breed,false,0,false,false,151AN1692,0,4,4,2022-04-14,0,1,Lut to Breed,,771989036,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Lut to Breed,Bred
778985003,false,0,551HO4429,0,1,1,2022-04-26,,Noe Gonzalez,14,0,Chalk,,8774742,Red Rock Dairy,Red Rock Dairy,Holstein,390,,,0,false,HO,551,2022-04-24,390,total,8774742,778985003,bred,1,446446,0,Chalk,false,0,false,false,551HO4429,0,1,1,2022-04-26,0,0,,,778985003,Red Rock Dairy,,,,,,true,Open,,total,1,446446,0,Chalk,Bred
