# Preg,AbortRes,SireBull,LACT,Ev#L,#Ev,Date,EvGap,Tech,Pen,bred.sexed,BredReas,DIM@E,AnId,FarmLoc,AnOwner,BRD,Age(da),Other2ID,Other5ID,ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,Age1BLT,Total
0,0,151AN1692,2,2,2,31/03/2022,35,Noe Gonzalez,9,1,Lut to Breed,117,7180063,Red Rock Dairy,Red Rock Dairy,Holstein,542,,,0,FALSE,AN,151,27/03/2022,80,total
0,0,151AN1692,2,3,3,07/04/2022,63,Noe Gonzalez,10,1,Ovsynch,178,3764334,Red Rock Dairy,Red Rock Dairy,Holstein,1247,,,0,FALSE,AN,151,03/04/2022,383,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,111,5881520,Red Rock Dairy,Red Rock Dairy,Holstein,803,,,0,FALSE,HO,551,27/03/2022,386,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,110,6213134,Red Rock Dairy,Red Rock Dairy,Holstein,778,345,,0,FALSE,HO,551,27/03/2022,392,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,114,6218171,Red Rock Dairy,Red Rock Dairy,Holstein,776,,,0,FALSE,HO,551,27/03/2022,389,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,110,6099059,Red Rock Dairy,Red Rock Dairy,Holstein,770,126,,0,FALSE,HO,551,27/03/2022,387,total
0,0,551HO4425,1,2,2,31/03/2022,35,Martin Medrano,1,1,Lut to Breed,112,6095532,Red Rock Dairy,Red Rock Dairy,Holstein,772,234,,0,FALSE,HO,551,27/03/2022,384,total
1,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,114,6098954,Red Rock Dairy,Red Rock Dairy,Holstein,771,246,,100,FALSE,HO,551,27/03/2022,383,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,115,6096969,Red Rock Dairy,Red Rock Dairy,Holstein,771,561,,0,FALSE,HO,551,27/03/2022,383,total
0,0,551HO4425,1,2,2,31/03/2022,35,Rigo Trejo,1,1,Lut to Breed,114,6223340,Red Rock Dairy,Red Rock Dairy,Holstein,774,126,,0,FALSE,HO,551,27/03/2022,386,total
1,0,551HO4425,1,2,2,31/03/2022,35,Martin Medrano,1,1,Lut to Breed,110,6109106,Red Rock Dairy,Red Rock Dairy,Holstein,769,234,,100,FALSE,HO,551,27/03/2022,388,total
0,0,151AN1692,3,3,3,31/03/2022,35,Rigo Trejo,5,1,Lut to Breed,152,3157098,Red Rock Dairy,Red Rock Dairy,Holstein,1778,,,0,FALSE,AN,151,27/03/2022,344,total
0,0,151AN1692,4,4,4,31/03/2022,35,Rigo Trejo,9,1,Lut to Breed,189,3157898,Red Rock Dairy,Red Rock Dairy,Holstein,1911,,,0,FALSE,AN,151,27/03/2022,351,total
0,0,151AN1692,3,3,3,07/04/2022,77,Rigo Trejo,9,1,Ovsynch,193,3156946,Red Rock Dairy,Red Rock Dairy,Holstein,1636,,,0,FALSE,AN,151,03/04/2022,365,total
1,0,151AN1692,1,3,3,31/03/2022,35,Martin Medrano,2,1,Lut to Breed,150,5858843,Red Rock Dairy,Red Rock Dairy,Holstein,810,,,100,FALSE,AN,151,27/03/2022,387,total
0,0,151AN1692,2,3,3,31/03/2022,35,Martin Medrano,2,1,Lut to Breed,154,3539446,Red Rock Dairy,Red Rock Dairy,Holstein,1305,,,0,FALSE,AN,151,27/03/2022,385,total
0,0,551HO4425,1,3,3,31/03/2022,35,Noe Gonzalez,1,1,Lut to Breed,148,5880139,Red Rock Dairy,Red Rock Dairy,Holstein,802,234,,0,FALSE,HO,551,27/03/2022,386,total
0,0,151AN1692,2,2,2,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,114,4214279,Red Rock Dairy,Red Rock Dairy,Holstein,1139,,,0,FALSE,AN,151,27/03/2022,388,total
1,0,151AN1692,1,4,4,31/03/2022,35,Rigo Trejo,2,1,Lut to Breed,219,5290373,Red Rock Dairy,Red Rock Dairy,Holstein,894,,,100,FALSE,AN,151,27/03/2022,385,total
